id_cliente,nome,cidade,estado,plano,valor_mensal,data_adesao,status
56,Sr. Gael Nunes,da Cunha da Serra,PB,Basico,39.9,2026-01-13,Ativo
57,Dante Lima,Lopes de Minas,SC,Premium,89.9,2026-01-13,Churn
58,Luiza Guerra,Pastor dos Dourados,PE,Basico,39.9,2026-01-13,Ativo
59,Renan Marques,Barros,SP,Basico,39.9,2026-01-13,Ativo
60,Dr. Ravi da Rosa,Lima,MT,Premium,89.9,2026-01-13,Ativo
61,Dra. Maria Laura Lopes,Nunes,SE,Premium,89.9,2026-01-13,Ativo
62,Sr. Rhavi Lima,Nunes de Correia,RN,Premium,89.9,2026-01-13,Ativo
63,Srta. Zoe Cirino,Nogueira do Norte,BA,Basico,39.9,2026-01-13,Ativo
64,Melissa Pereira,Rios,DF,Basico,39.9,2026-01-13,Ativo
65,João Guilherme Aparecida,Ferreira,AL,Premium,89.9,2026-01-13,Ativo
66,Arthur Gabriel Almeida,Martins,PA,Premium,89.9,2026-01-13,Churn
67,Laura Andrade,Oliveira da Serra,MG,Premium,89.9,2026-01-13,Ativo
68,Rebeca Moura,Fonseca,GO,Essencial,59.9,2026-01-13,Ativo
69,Henry Gabriel Martins,Novais,RS,Basico,39.9,2026-01-13,Ativo
70,Sra. Aurora da Mata,Camargo,MA,Essencial,59.9,2026-01-13,Churn
71,Carolina Vasconcelos,Moraes do Oeste,PB,Basico,39.9,2026-01-13,Ativo
72,Ana Beatriz Nascimento,Aparecida do Amparo,MA,Essencial,59.9,2026-01-13,Ativo
73,Lorenzo Macedo,Mendes do Campo,PR,Basico,39.9,2026-01-13,Ativo
74,Camila Mendes,Cardoso,DF,Premium,89.9,2026-01-13,Ativo
75,Srta. Bianca Casa Grande,Lima do Sul,RJ,Basico,39.9,2026-01-13,Ativo
76,Davi Lucca Peixoto,Marques,TO,Basico,39.9,2026-01-13,Ativo
77,Vicente Vasconcelos,Abreu,RN,Basico,39.9,2026-01-13,Ativo
78,Sr. Enzo Gabriel das Neves,Brito da Prata,AL,Premium,89.9,2026-01-13,Ativo
79,Lucca Rocha,Vasconcelos do Galho,MA,Essencial,59.9,2026-01-13,Ativo
80,João Miguel Pimenta,Carvalho,PA,Basico,39.9,2026-01-13,Ativo
81,Nina Nascimento,Correia de Ferreira,PA,Essencial,59.9,2026-01-13,Churn
82,Srta. Luana Montenegro,Leão do Amparo,PB,Premium,89.9,2026-01-13,Ativo
83,Dr. João Guilherme Alves,Santos,SE,Essencial,59.9,2026-01-13,Ativo
84,Mirella Pacheco,Rios,TO,Premium,89.9,2026-01-13,Ativo
85,Ana Luiza da Rocha,Vieira,AC,Essencial,59.9,2026-01-13,Ativo
86,Agatha Campos,Caldeira de Almeida,DF,Premium,89.9,2026-01-13,Ativo
87,Benjamim Macedo,Cassiano Alegre,RS,Basico,39.9,2026-01-13,Churn
88,Breno das Neves,Correia de Moura,PA,Essencial,59.9,2026-01-13,Churn
89,Anthony Silva,Oliveira Grande,DF,Premium,89.9,2026-01-13,Ativo
90,Luísa Pimenta,Araújo de Cirino,MG,Essencial,59.9,2026-01-13,Ativo
91,Isaac Rocha,Silva,AC,Essencial,59.9,2026-01-13,Ativo
92,Ana Luiza Rocha,Costela,RS,Essencial,59.9,2026-01-13,Ativo
93,Luara Castro,Santos de Farias,DF,Premium,89.9,2026-01-13,Ativo
94,Vicente Gonçalves,Vargas de Goiás,PB,Essencial,59.9,2026-01-13,Ativo
95,Esther Silva,Cardoso de Goiás,PR,Premium,89.9,2026-01-13,Ativo
96,Ísis Costa,Lopes Alegre,PE,Basico,39.9,2026-01-13,Ativo
97,Benjamim Sampaio,Campos,MG,Basico,39.9,2026-01-13,Ativo
98,Ana Vitória Sales,Pereira do Amparo,PI,Premium,89.9,2026-01-13,Ativo
99,Matteo Camargo,Novaes,PI,Essencial,59.9,2026-01-13,Ativo
100,Sophie Costa,Sousa,MT,Essencial,59.9,2026-01-13,Churn
101,Lara Araújo,Pacheco da Praia,AP,Premium,89.9,2026-01-13,Ativo
102,Arthur Alves,Rodrigues,AL,Essencial,59.9,2026-01-13,Churn
103,Isaque Albuquerque,da Rocha,SE,Premium,89.9,2026-01-13,Ativo
104,Maria Borges,Silva,RJ,Premium,89.9,2026-01-13,Churn
105,Amanda Porto,Ribeiro,PR,Essencial,59.9,2026-01-13,Ativo
106,Alexia Peixoto,Barbosa Paulista,SC,Basico,39.9,2026-01-13,Ativo
107,Luara Sousa,Lopes da Prata,ES,Premium,89.9,2026-01-13,Ativo
108,Melina Viana,Costela da Prata,MA,Premium,89.9,2026-01-13,Churn
109,Rodrigo Cardoso,Caldeira da Praia,DF,Basico,39.9,2026-01-13,Ativo
110,Anthony da Costa,Barros,MA,Essencial,59.9,2026-01-13,Ativo
111,Mathias Nogueira,Macedo,CE,Basico,39.9,2026-01-13,Ativo
112,Francisco Gonçalves,Pimenta do Amparo,ES,Essencial,59.9,2026-01-13,Ativo
113,Antonella Borges,da Mota de Brito,PB,Essencial,59.9,2026-01-13,Ativo
114,João Miguel Rodrigues,Silveira de Siqueira,RJ,Essencial,59.9,2026-01-13,Ativo
115,Davi Lucas Gonçalves,Novais,PI,Premium,89.9,2026-01-13,Ativo
116,Maria Alice Barbosa,Rocha,ES,Essencial,59.9,2026-01-13,Ativo
117,Sabrina Barbosa,da Luz,ES,Essencial,59.9,2026-01-13,Churn
118,Bryan Pinto,Alves de Aragão,MG,Essencial,59.9,2026-01-13,Ativo
119,Maria Júlia da Cruz,Melo de da Conceição,BA,Basico,39.9,2026-01-13,Ativo
120,Nathan Borges,Monteiro do Sul,PE,Premium,89.9,2026-01-13,Ativo
121,Bento Martins,Duarte,RN,Premium,89.9,2026-01-13,Ativo
122,Sra. Lara Cassiano,Vasconcelos,AL,Premium,89.9,2026-01-13,Ativo
123,Maria Alice Albuquerque,Santos das Pedras,DF,Basico,39.9,2026-01-13,Ativo
124,Murilo Gonçalves,da Mata,ES,Basico,39.9,2026-01-13,Ativo
125,Maria Clara Azevedo,Cardoso da Mata,AM,Basico,39.9,2026-01-13,Ativo
126,Danilo Leão,Pastor das Flores,MT,Premium,89.9,2026-01-13,Ativo
127,Henry Gabriel Casa Grande,Cunha das Pedras,AL,Basico,39.9,2026-01-13,Ativo
128,Leonardo Fogaça,Nunes Verde,MA,Essencial,59.9,2026-01-13,Ativo
129,Dr. Renan Souza,da Mota do Oeste,ES,Premium,89.9,2026-01-13,Ativo
130,Bernardo Gomes,Melo,PE,Essencial,59.9,2026-01-13,Ativo
131,Stella Andrade,Mendes,SC,Essencial,59.9,2026-01-13,Ativo
132,Theo Nogueira,Pastor de Camargo,MS,Premium,89.9,2026-01-13,Ativo
133,Nicolas Camargo,Borges dos Dourados,RO,Premium,89.9,2026-01-13,Ativo
134,Otávio Santos,da Cunha Paulista,MS,Basico,39.9,2026-01-13,Ativo
135,Manuella Oliveira,Gomes,CE,Essencial,59.9,2026-01-13,Ativo
136,Davi Lucca da Costa,da Rocha,MA,Premium,89.9,2026-01-13,Ativo
137,Ryan da Rocha,Cunha,CE,Premium,89.9,2026-01-13,Churn
138,Isaque Teixeira,Cardoso,CE,Premium,89.9,2026-01-13,Ativo
139,Sra. Maria Cecília Duarte,Vasconcelos,RO,Premium,89.9,2026-01-13,Ativo
140,Miguel Guerra,Viana de da Rosa,PR,Premium,89.9,2026-01-13,Churn
141,Sofia Gomes,Melo,AP,Essencial,59.9,2026-01-13,Ativo
142,Dr. Kaique da Rosa,da Mata,GO,Basico,39.9,2026-01-13,Ativo
143,Bryan Pinto,Gomes das Pedras,DF,Basico,39.9,2026-01-13,Ativo
144,Enzo Gabriel Almeida,Novais Paulista,RO,Basico,39.9,2026-01-13,Ativo
145,Lucca da Rosa,Viana Paulista,SC,Premium,89.9,2026-01-13,Ativo
146,Rhavi Pimenta,Cirino de Fernandes,AM,Essencial,59.9,2026-01-13,Ativo
147,Ana Carolina Jesus,Azevedo do Amparo,SC,Premium,89.9,2026-01-13,Ativo
148,Nathan Nunes,Rios,SP,Basico,39.9,2026-01-13,Ativo
149,Sra. Ana Julia Ribeiro,Lopes,AP,Basico,39.9,2026-01-13,Ativo
150,Bianca Viana,Barbosa de da Costa,MA,Basico,39.9,2026-01-13,Ativo
151,Guilherme Cassiano,Vieira,MA,Basico,39.9,2026-01-13,Ativo
152,Lorena Abreu,Cunha,AM,Essencial,59.9,2026-01-13,Churn
153,Dra. Fernanda Aragão,Ramos,MA,Basico,39.9,2026-01-13,Ativo
154,Maria Helena Dias,Sales,MS,Premium,89.9,2026-01-13,Ativo
155,Ana Laura Garcia,Caldeira,RJ,Basico,39.9,2026-01-13,Ativo
156,Léo Pacheco,Moreira,CE,Basico,39.9,2026-01-13,Ativo
157,Ana Julia Barros,da Mota,PE,Basico,39.9,2026-01-13,Ativo
158,Mariana Martins,Leão da Mata,PE,Premium,89.9,2026-01-13,Ativo
159,Yan Camargo,Peixoto de Aragão,SC,Essencial,59.9,2026-01-13,Ativo
160,Sra. Maria Julia Mendes,Andrade,RO,Essencial,59.9,2026-01-13,Ativo
161,Heloisa Guerra,Aragão,PB,Basico,39.9,2026-01-13,Ativo
162,Sra. Eloá Aragão,Oliveira de Melo,RO,Premium,89.9,2026-01-13,Ativo
163,Dr. José Pedro Pires,Aragão do Galho,SE,Premium,89.9,2026-01-13,Churn
164,Bruno Vargas,Lopes,DF,Premium,89.9,2026-01-13,Churn
165,Dra. Kamilly Vargas,Porto Verde,CE,Essencial,59.9,2026-01-13,Ativo
166,Mirella Aparecida,Vargas,AC,Basico,39.9,2026-01-13,Ativo
167,Dra. Isadora Nogueira,Novais Alegre,SC,Premium,89.9,2026-01-13,Ativo
168,Rebeca Duarte,Peixoto do Galho,AC,Premium,89.9,2026-01-13,Churn
169,Vitor Pacheco,Nunes,MT,Essencial,59.9,2026-01-13,Churn
170,Sr. Nicolas Rezende,Monteiro,PA,Essencial,59.9,2026-01-13,Ativo
171,Vitor Mendes,Barros,PA,Premium,89.9,2026-01-13,Ativo
172,Pedro Lucas Cardoso,Siqueira,AM,Premium,89.9,2026-01-13,Churn
173,Davi Ribeiro,Fogaça do Oeste,MT,Premium,89.9,2026-01-13,Ativo
174,Luiz Felipe Caldeira,Ferreira de Santos,MG,Essencial,59.9,2026-01-13,Ativo
175,Juan Peixoto,Cunha da Serra,DF,Essencial,59.9,2026-01-13,Ativo
176,Maria Isis Martins,Guerra,MG,Essencial,59.9,2026-01-13,Churn
177,Ágatha Fernandes,da Cunha,GO,Basico,39.9,2026-01-13,Ativo
178,Ana Beatriz Moreira,Cunha do Galho,DF,Essencial,59.9,2026-01-13,Ativo
179,Ana Vitória Campos,da Rosa de Andrade,CE,Essencial,59.9,2026-01-13,Churn
180,Hadassa Caldeira,Cardoso,PB,Basico,39.9,2026-01-13,Ativo
181,Otto Mendes,Viana,MG,Essencial,59.9,2026-01-13,Ativo
182,Giovanna Moreira,Novais,PR,Basico,39.9,2026-01-13,Ativo
183,Dra. Luiza Andrade,Porto,PR,Essencial,59.9,2026-01-13,Churn
184,Noah Brito,Albuquerque da Mata,AP,Essencial,59.9,2026-01-13,Ativo
185,Maya Viana,Vasconcelos de Leão,MA,Basico,39.9,2026-01-13,Ativo
186,Sr. Paulo das Neves,Nascimento,SE,Essencial,59.9,2026-01-13,Ativo
187,Vitória Pereira,Santos da Serra,TO,Basico,39.9,2026-01-13,Ativo
188,Cauã Cavalcanti,Cavalcanti,PB,Essencial,59.9,2026-01-13,Ativo
189,Dra. Ana Júlia Albuquerque,Moraes do Galho,RN,Basico,39.9,2026-01-13,Churn
190,Gael Henrique Rios,Souza,TO,Premium,89.9,2026-01-13,Ativo
191,Asafe Fernandes,Viana do Campo,TO,Premium,89.9,2026-01-13,Ativo
192,Guilherme Ramos,Abreu Grande,PI,Premium,89.9,2026-01-13,Ativo
193,Sra. Agatha Peixoto,Guerra das Pedras,RS,Essencial,59.9,2026-01-13,Churn
194,Carolina Pereira,Oliveira,AM,Essencial,59.9,2026-01-13,Ativo
195,Yasmin Machado,Jesus,PE,Essencial,59.9,2026-01-13,Churn
196,João Felipe Marques,Rocha da Praia,MG,Essencial,59.9,2026-01-13,Ativo
197,Marcela Aragão,Nogueira,MS,Premium,89.9,2026-01-13,Ativo
198,Davi Vargas,Marques do Galho,MA,Essencial,59.9,2026-01-13,Ativo
199,Mariana Caldeira,Moreira Grande,RS,Essencial,59.9,2026-01-13,Ativo
200,Caroline da Rosa,Rodrigues da Praia,MA,Premium,89.9,2026-01-13,Ativo
201,João Miguel Brito,Aparecida,RO,Basico,39.9,2026-01-13,Ativo
202,Catarina Silveira,Macedo da Mata,TO,Essencial,59.9,2026-01-13,Ativo
203,Gabrielly Gonçalves,Rezende de Nunes,AM,Basico,39.9,2026-01-13,Ativo
204,Igor Gomes,Sousa de Guerra,AL,Premium,89.9,2026-01-13,Ativo
205,Ana Liz Gomes,Moraes,ES,Premium,89.9,2026-01-13,Ativo
206,Gustavo Gomes,Barros,SP,Premium,89.9,2026-01-13,Ativo
207,Marcela Vasconcelos,Abreu da Mata,SE,Basico,39.9,2026-01-13,Ativo
208,Sra. Laís Barros,Rodrigues do Sul,GO,Premium,89.9,2026-01-13,Ativo
209,Bella Brito,Viana de Pacheco,BA,Essencial,59.9,2026-01-13,Churn
210,Cauê Guerra,Silva da Prata,PE,Essencial,59.9,2026-01-13,Ativo
211,Heloísa Sampaio,Correia de Minas,MS,Basico,39.9,2026-01-13,Ativo
212,Mirella Jesus,Lima das Pedras,PA,Essencial,59.9,2026-01-13,Ativo
213,Ana da Rocha,Viana,DF,Basico,39.9,2026-01-13,Ativo
214,Clara Mendonça,Nogueira Paulista,GO,Premium,89.9,2026-01-13,Ativo
215,Fernando da Paz,Melo da Mata,AP,Essencial,59.9,2026-01-13,Churn
216,Maria Helena da Paz,da Paz Alegre,SC,Essencial,59.9,2026-01-13,Ativo
217,Pedro Miguel Nascimento,Rodrigues do Galho,SP,Premium,89.9,2026-01-13,Ativo
218,Clara Azevedo,Almeida de Duarte,PE,Premium,89.9,2026-01-13,Churn
219,Dr. Lucas Gabriel Jesus,Fogaça,MS,Basico,39.9,2026-01-13,Ativo
220,Joana da Mata,Macedo do Campo,PI,Essencial,59.9,2026-01-13,Ativo
221,Heloisa da Cruz,Borges,AM,Premium,89.9,2026-01-13,Ativo
222,Antony Vargas,Almeida do Amparo,GO,Basico,39.9,2026-01-13,Ativo
223,Bento Pinto,Ramos,CE,Premium,89.9,2026-01-13,Ativo
224,Ísis Pacheco,Melo do Oeste,GO,Premium,89.9,2026-01-13,Churn
225,Emanuel Lopes,Dias das Pedras,RS,Basico,39.9,2026-01-13,Ativo
226,Laís Câmara,Almeida de Mendonça,RJ,Basico,39.9,2026-01-13,Ativo
227,Gabriela Marques,Ferreira de Novaes,PI,Basico,39.9,2026-01-13,Ativo
228,Sr. Vitor Hugo Ferreira,Novais de Goiás,PB,Basico,39.9,2026-01-13,Ativo
229,Maria Júlia da Cunha,Andrade,SC,Premium,89.9,2026-01-13,Ativo
230,Ágatha da Costa,Sales,PE,Essencial,59.9,2026-01-13,Ativo
231,Ryan da Costa,Sousa de Macedo,AL,Essencial,59.9,2026-01-13,Churn
232,Valentim Albuquerque,Peixoto,AP,Premium,89.9,2026-01-13,Ativo
233,Dra. Allana Lima,Ferreira Paulista,RS,Essencial,59.9,2026-01-13,Ativo
234,Sr. Cauã Guerra,Rios de Abreu,AL,Essencial,59.9,2026-01-13,Ativo
235,Hadassa Mendes,Fogaça do Amparo,AM,Basico,39.9,2026-01-13,Ativo
236,Bruno Pacheco,Barbosa,MT,Basico,39.9,2026-01-13,Ativo
237,Agatha da Rosa,Vargas Paulista,PR,Basico,39.9,2026-01-13,Ativo
238,Maya Fonseca,Campos,RN,Essencial,59.9,2026-01-13,Ativo
239,Matheus Cunha,Melo,MT,Premium,89.9,2026-01-13,Ativo
240,Oliver da Cruz,Lopes,SC,Basico,39.9,2026-01-13,Ativo
241,Mariana Macedo,Moreira,RS,Essencial,59.9,2026-01-13,Churn
242,Vitor Garcia,Rios,ES,Premium,89.9,2026-01-13,Ativo
243,Yago Guerra,Fogaça,PB,Essencial,59.9,2026-01-13,Ativo
244,Sr. Théo Almeida,Azevedo,PI,Essencial,59.9,2026-01-13,Ativo
245,Sra. Bella Nogueira,Melo da Serra,ES,Essencial,59.9,2026-01-13,Ativo
246,Maria Luiza Sales,Vargas de Viana,SE,Essencial,59.9,2026-01-13,Ativo
247,Bryan Cunha,Moura,PA,Essencial,59.9,2026-01-13,Churn
248,Dr. Carlos Eduardo Cassiano,Jesus,AM,Essencial,59.9,2026-01-13,Ativo
249,Bernardo Barros,Viana,SC,Basico,39.9,2026-01-13,Ativo
250,Dr. Vitor Monteiro,Novais da Prata,SC,Essencial,59.9,2026-01-13,Ativo
251,Srta. Maria Dias,Cunha,CE,Basico,39.9,2026-01-13,Ativo
252,Maria Fernanda Garcia,Montenegro,PA,Premium,89.9,2026-01-13,Ativo
253,Beatriz Cassiano,Silva,TO,Essencial,59.9,2026-01-13,Ativo
254,João Felipe Borges,Pires de Sousa,GO,Basico,39.9,2026-01-13,Ativo
255,Ana Liz Brito,Teixeira,PE,Premium,89.9,2026-01-13,Ativo
256,Dr. Samuel Garcia,Carvalho Paulista,RS,Basico,39.9,2026-01-13,Ativo
257,Olívia Vieira,da Luz,RJ,Essencial,59.9,2026-01-13,Ativo
258,Dom Guerra,Cavalcanti de Montenegro,AP,Premium,89.9,2026-01-13,Ativo
259,Oliver Souza,Cassiano,PA,Basico,39.9,2026-01-13,Ativo
260,Sra. Olivia Sampaio,Viana,RS,Essencial,59.9,2026-01-13,Ativo
261,Camila Silva,Cassiano das Flores,RJ,Premium,89.9,2026-01-13,Ativo
262,Thomas Gonçalves,Cavalcanti do Galho,PE,Essencial,59.9,2026-01-13,Churn
263,João Montenegro,Moreira do Oeste,RS,Basico,39.9,2026-01-13,Ativo
264,Marcela Rezende,Vargas,PR,Basico,39.9,2026-01-13,Ativo
265,Sra. Sophie Castro,Rios das Pedras,AM,Basico,39.9,2026-01-13,Churn
266,Benicio Novais,Andrade,MT,Basico,39.9,2026-01-13,Ativo
267,Luiz Otávio Alves,Correia,AM,Premium,89.9,2026-01-13,Churn
268,Natália Mendes,Martins,CE,Essencial,59.9,2026-01-13,Ativo
269,Maria Helena Pacheco,da Mata,MS,Premium,89.9,2026-01-13,Ativo
270,Dra. Maria Julia Oliveira,Melo do Galho,RS,Essencial,59.9,2026-01-13,Churn
271,Ana Cecília Lopes,Sampaio do Galho,SE,Essencial,59.9,2026-01-13,Ativo
272,Nicole Siqueira,Aragão do Sul,RJ,Essencial,59.9,2026-01-13,Ativo
273,Rhavi Rios,Pacheco de Aparecida,CE,Basico,39.9,2026-01-13,Churn
274,Miguel Rios,Cunha do Amparo,RN,Basico,39.9,2026-01-13,Ativo
275,Henry Moreira,Pinto dos Dourados,PB,Premium,89.9,2026-01-13,Ativo
276,Juliana Cassiano,Teixeira da Serra,RS,Essencial,59.9,2026-01-13,Ativo
277,Eloá Câmara,Costela,CE,Premium,89.9,2026-01-13,Ativo
278,Vitor Gabriel Lopes,da Luz de Goiás,SC,Premium,89.9,2026-01-13,Ativo
279,Ravi Lucca Fonseca,Costela das Pedras,PR,Basico,39.9,2026-01-13,Ativo
280,Lavínia Rezende,Peixoto do Sul,RJ,Essencial,59.9,2026-01-13,Churn
281,Beatriz Camargo,Aparecida,AM,Basico,39.9,2026-01-13,Ativo
282,Guilherme Fogaça,Teixeira do Sul,PB,Basico,39.9,2026-01-13,Ativo
283,Caleb Fogaça,Silveira,PR,Essencial,59.9,2026-01-13,Ativo
284,Alana Almeida,Machado de Cirino,GO,Premium,89.9,2026-01-13,Ativo
285,Sra. Beatriz Cirino,Ramos do Amparo,MS,Basico,39.9,2026-01-13,Churn
286,Bento Silva,Câmara,AP,Basico,39.9,2026-01-13,Churn
287,Bruno Dias,Pastor de da Cruz,GO,Premium,89.9,2026-01-13,Ativo
288,Leandro Lima,Cassiano do Campo,PA,Essencial,59.9,2026-01-13,Ativo
289,Diogo das Neves,Souza Alegre,CE,Basico,39.9,2026-01-13,Ativo
290,Cauê Duarte,Guerra de Goiás,RR,Essencial,59.9,2026-01-13,Ativo
291,Maria Clara das Neves,Silva de Goiás,MS,Basico,39.9,2026-01-13,Ativo
292,Thomas da Cruz,Barros,GO,Basico,39.9,2026-01-13,Ativo
293,Yuri das Neves,Peixoto do Campo,RR,Basico,39.9,2026-01-13,Ativo
294,Maria Liz da Cunha,Rocha de da Cunha,DF,Premium,89.9,2026-01-13,Ativo
295,Lívia Rodrigues,da Mota dos Dourados,GO,Essencial,59.9,2026-01-13,Ativo
296,Luísa da Cunha,Barros dos Dourados,RJ,Essencial,59.9,2026-01-13,Ativo
297,Antonella Vasconcelos,da Luz Grande,PE,Premium,89.9,2026-01-13,Ativo
298,Carlos Eduardo Abreu,Garcia,GO,Premium,89.9,2026-01-13,Ativo
299,Ana Liz Souza,Aparecida do Norte,MS,Essencial,59.9,2026-01-13,Ativo
300,Liz da Conceição,Pires de Machado,PI,Premium,89.9,2026-01-13,Ativo
301,Maya Rios,da Rosa de Rodrigues,SP,Essencial,59.9,2026-01-13,Ativo
302,Cauã Araújo,Câmara do Sul,PI,Premium,89.9,2026-01-13,Ativo
303,Dr. Benjamim Alves,Almeida da Prata,MA,Essencial,59.9,2026-01-13,Ativo
304,Maya das Neves,Santos da Serra,MA,Premium,89.9,2026-01-13,Churn
305,Josué Silveira,Teixeira do Galho,GO,Premium,89.9,2026-01-13,Ativo
306,Olivia Pires,Machado da Praia,MA,Basico,39.9,2026-01-13,Churn
307,Ana Clara Vieira,Guerra,RO,Premium,89.9,2026-01-13,Ativo
308,José Monteiro,Cassiano de Goiás,MS,Premium,89.9,2026-01-13,Churn
309,Zoe Brito,Borges,PA,Essencial,59.9,2026-01-13,Ativo
310,Alícia Freitas,da Cruz,MA,Essencial,59.9,2026-01-13,Ativo
311,Yan Oliveira,Vasconcelos de Peixoto,PA,Essencial,59.9,2026-01-13,Ativo
312,Felipe Rezende,Silveira de Caldeira,MG,Basico,39.9,2026-01-13,Ativo
313,Ayla Gomes,Lopes da Mata,AL,Basico,39.9,2026-01-13,Ativo
314,Maria Alice Castro,Vasconcelos do Campo,PR,Essencial,59.9,2026-01-13,Ativo
315,Ana Carolina Gonçalves,Lopes da Praia,AL,Essencial,59.9,2026-01-13,Churn
316,Nicolas da Cunha,Ferreira dos Dourados,SC,Premium,89.9,2026-01-13,Churn
317,Mariana Andrade,Moura da Serra,MG,Essencial,59.9,2026-01-13,Ativo
318,Sarah Silveira,Alves,PA,Premium,89.9,2026-01-13,Ativo
319,Brenda Jesus,Guerra das Flores,MA,Basico,39.9,2026-01-13,Ativo
320,Vitor Hugo Pacheco,Silva das Flores,PR,Premium,89.9,2026-01-13,Ativo
321,Ana Sophia Cassiano,Marques,RO,Basico,39.9,2026-01-13,Ativo
